series,month,segment,actual,predicted,lo80,hi80,lo95,hi95
Technology and Innovation,2025-04,holdout,5737600.0,894398.6295188997,,,,
Technology and Innovation,2025-05,holdout,2647600.0,1722078.8756186215,,,,
Technology and Innovation,2025-06,holdout,3934300.0,1248882.7994271254,,,,
Technology and Innovation,2025-07,holdout,2664600.0,1651191.7581388794,,,,
Technology and Innovation,2025-08,holdout,2149600.0,1626147.3885792515,,,,
Technology and Innovation,2025-09,holdout,2104900.0,1672521.9626621895,,,,
Technology and Innovation,2025-10,holdout,1993100.0,1588246.0335787523,,,,
Technology and Innovation,2025-11,holdout,2578800.0,1409850.733066179,,,,
Technology and Innovation,2025-12,holdout,2167400.0,1515401.5696688925,,,,
Technology and Innovation,2026-01,forecast,,2134670.994524509,1418736.9882912433,6813334.489608084,1372259.722346112,13459087.416663125
Technology and Innovation,2026-02,forecast,,2590329.6830715206,1721575.1479589918,8267682.755045808,1665177.0229671358,16332012.629516525
Technology and Innovation,2026-03,forecast,,2549982.7187846624,1694759.9006698974,8138905.363104963,1639240.2326365372,16077625.269250374
